,rxn
45089,BrB(Br)Br.COc1ccc(-n2nc(C)cc2C)c(CN)c1.ClCCl.O>>Cc1cc(C)n(-c2ccc(O)cc2CN)n1
27920,CCO.CCOC(=O)C1CCNCC1.CCOC(C)=O.ClCc1ccccc1.O.O=C([O-])[O-].[K+].[K+]>>CCOC(=O)C1CCN(Cc2ccccc2)CC1
20763,Cc1c(N)cccc1[N+](=O)[O-].O=Cc1ccc2c(c1)OCCO2>>Cc1c(NCc2ccc3c(c2)OCCO3)cccc1[N+](=O)[O-]
25910,Cc1ccc(Cl)cc1-c1cc(Cl)nc(N)n1.Nc1ccc(CCO)cc1>>Cc1ccc(Cl)cc1-c1cc(Nc2ccc(CCO)cc2)nc(N)n1
41471,C1CCOC1.CCCC1CC(=O)N(Cn2cnc3c(Cl)ncnc32)C1.CCCCCC.CO.ClCCl.O=C[O-].[NH4+].[Pd]>>CCCC1CC(=O)N(Cn2cnc3c(N)ncnc32)C1
39316,CC(O)c1nc2ccccc2[nH]1.O=S(=O)(O)O.O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+].[NH4+].[OH-]>>CC(=O)c1nc2ccccc2[nH]1
12512,CC(=O)N(C)C.CCN(CC)CC.CCN(CC)c1ccc(C(=O)Cn2ncc(Cl)c(Cl)c2=O)cc1.NC12CC3CC(CC1C3)C2.[Cl-].[NH4+]>>CCN(CC)c1ccc(C(=O)Cn2ncc(NC34CC5CC(CC3C5)C4)c(Cl)c2=O)cc1
11466,CC(C)(C)OC(=O)N1CCC(O)CC1.CCN(CC)CC.Cc1ccc(S(=O)(=O)Cl)cc1.ClCCl.O>>Cc1ccc(S(=O)(=O)OC2CCN(C(=O)OC(C)(C)C)CC2)cc1
33915,CC(=O)[O-].CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CN(C)C=O.Cn1ccc(I)n1.Nc1n[nH]c2c(Br)cn(-c3c(F)cccc3F)c(=O)c12.O.O=C([O-])[O-].[K+].[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>>Cn1ccc(-c2cn(-c3c(F)cccc3F)c(=O)c3c(N)n[nH]c23)n1
21728,Br.C1COCCOCCOCCOCCOCCO1.CC(C)=O.CCOC(=O)CCCBr.CN(C)C=O.CN(C)CCCC1c2ccccc2CCc2cc(O)ccc21.O=C([O-])[O-].[Cs+].[Cs+].[I-].[Na+]>>CCOC(=O)CCCOc1ccc2c(c1)CCc1ccccc1C2CCCN(C)C
30738,CC(C)(C)OC(=O)N1CCC(c2cc(Br)c3c(N)ncnn23)CC1.CC1(C)OB(c2ccc3nc(Cc4ccccc4)sc3c2)OC1(C)C>>CC(C)(C)OC(=O)N1CCC(c2cc(-c3ccc4nc(Cc5ccccc5)sc4c3)c3c(N)ncnn23)CC1
47535,CCCCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCN(CC)CC.CCOC(=O)c1oc2cccc(OS(=O)(=O)C(F)(F)F)c2c1C.CCOC(C)=O.CN(C)C=O.C[Si](C)(C)C#CC1CC1.Cl[Pd]Cl.[F-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CCOC(=O)c1oc2cccc(C#CC3CC3)c2c1C
41047,C/C=C/C(=O)O.Cc1ccccc1Cl.ClCCl.Clc1ccc(Cl)nn1.O=C1C=CC(=O)O1.OO.[Na+].[OH-]>>[O-][n+]1nc(Cl)ccc1Cl
44782,CC(=O)O.COC(CCCN1CCN(C(=O)OC(C)(C)C)CCC1=O)OC>>CC(C)(C)OC(=O)N1CCC(=O)N(CCCC=O)CC1
11034,COc1ccc(COc2ccc(CCN3CCC[C@H]3C)cc2Cl)cc1.ClCCl.O=C(O)C(F)(F)F>>C[C@@H]1CCCN1CCc1ccc(O)c(Cl)c1
27321,CCOC(C)=O.CS(C)=O.Cc1cc(F)ccc1-c1cc(Cl)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.O=C([O-])[O-].OC[C@H]1NCC[C@@H]1O.[K+].[K+]>>Cc1cc(F)ccc1-c1cc(N2CC[C@H](O)[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
29086,COC(=O)[C@H](C(C)C)N1Cc2cc(-c3ccc(N)cc3)ccc2C1=O.COC(=O)[C@H](C(C)C)N1Cc2cc(-c3ccc(NC(=S)Nc4ccccc4F)cc3)ccc2C1=O.N#Cc1ccc(N=C=S)cc1>>COC(=O)[C@H](C(C)C)N1Cc2cc(-c3ccc(NC(=S)Nc4ccc(C#N)cc4)cc3)ccc2C1=O
49486,CCO.Cc1ccc(S(=O)(=O)N2CCC3(C=Cc4ccccc43)CC2)cc1.[Pd]>>Cc1ccc(S(=O)(=O)N2CCC3(CCc4ccccc43)CC2)cc1
29906,CC1(C(=O)O)CC1.Nc1ccc(OCC(F)(F)F)c(Cl)c1.O.c1ccncc1>>CC1(C(=O)Nc2ccc(OCC(F)(F)F)c(Cl)c2)CC1
9846,Cc1cc(Cl)cc([N+](=O)[O-])c1S(=O)(=O)N1CCNCC1=O.Cc1cn(CC(=O)O)c(=O)[nH]c1=O.Cl>>Cc1cc(Cl)cc([N+](=O)[O-])c1S(=O)(=O)N1CCN(C(=O)Cn2cc(C)c(=O)[nH]c2=O)CC1=O
5843,CCC(C)c1c(Cl)nc(SC)nc1N(CC(F)(F)F)C(=O)OC(C)(C)C.ClCCl.O.O=C(O)C(F)(F)F>>CCC(C)c1c(Cl)nc(SC)nc1NCC(F)(F)F
37449,C1COCCO1.COC(=O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cc(Br)ccc23)c(F)c1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].O=C1NCCN1.[Cs+].[Cs+].[Pd].[Pd]>>COC(=O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cc(N4CCNC4=O)ccc23)c(F)c1
46973,CN(C)C=O.Clc1ccn2nccc2n1.O=P(Cl)(Cl)Cl.[Na+].[OH-]>>O=Cc1cnn2ccc(Cl)nc12
29898,C.CO.C[Si](C)(C)c1cc(C(=O)Nc2ccc(C=CC(=O)O)cc2)cc([Si](C)(C)C)c1.[H][H].[Pd]>>C[Si](C)(C)c1cc(C(=O)Nc2ccc(CCC(=O)O)cc2)cc([Si](C)(C)C)c1
6111,CCO.CN[C@H]1[C@H](O)C[C@H]2[C@@H]3CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C.O.[Na+].[OH-]>>CN[C@H]1[C@H](O)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
44111,CC(C)(C)c1cn2cccc(CO)c2n1.[Br-].[K+]>>CC(C)(C)c1cn2cccc(C=O)c2n1
38585,CCOC(=O)CCCC(O)CCC#N.CCOC(=O)N=NC(=O)OCC.ClCCl.Oc1cccnc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CCOC(=O)CCCC(CCC#N)Oc1cccnc1
2210,C=CC[C@H]1CNC[C@@]1(N=[N+]=[N-])C(=O)OCC(=O)c1ccccc1.CC(C)(C)OC(=O)N1Cc2cc(Cl)ccc2CC1C(=O)O.CCN(CC)CC.CN(C)C(On1nnc2cccnc21)=[N+](C)C.Cl.ClCCl.F[P-](F)(F)(F)(F)F>>C=CC[C@H]1CN(C(=O)C2Cc3ccc(Cl)cc3CN2C(=O)OC(C)(C)C)C[C@@]1(N=[N+]=[N-])C(=O)OCC(=O)c1ccccc1
34687,CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.CC(C)(C)OC(=O)N1CCC(C=O)CC1.N[C@@H]1C[C@H]1c1ccc(Br)cc1.[Na+]>>CC(C)(C)OC(=O)N1CCC(CN[C@@H]2C[C@H]2c2ccc(Br)cc2)CC1
49089,CC(C)(C)Oc1ccc(C(=O)O)cc1.Cl.Cl.N[C@@H]1CC[C@@H](CCN2CCCCC2c2coc3cccc-3c2)CC1>>CC(C)(C)Oc1ccc(C(=O)N[C@@H]2CC[C@@H](CCN3CCCCC3c3coc4cccc-4c3)CC2)cc1
18216,CC(C)C(=O)Cl.Cl.Nc1cccc(-c2cccc3cc(C(=O)N[C@H]4CN5CCC4CC5)sc23)c1>>CC(C)C(=O)Nc1cccc(-c2cccc3cc(C(=O)N[C@H]4CN5CCC4CC5)sc23)c1.Cl
35816,CO.COc1cc(N2CCCC2=O)cc([N+](=O)[O-])c1.[Pd]>>COc1cc(N)cc(N2CCCC2=O)c1
22996,CCN(CC)CC.CN1CC[NH+](C)C1Cl.COC1=C(OC)C(=O)C(Cc2ccc(OC(C)=O)c(C(=O)O)c2)=C(C)C1=O.ClCCl.Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1.[Cl-]>>COC1=C(OC)C(=O)C(Cc2ccc(OC(C)=O)c(C(=O)Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c2)=C(C)C1=O
14956,C1CCOC1.CCN.Clc1nc(NCC2(c3ccccc3)CCCCC2)c2ccccc2n1>>CCNc1nc(NCC2(c3ccccc3)CCCCC2)c2ccccc2n1
19626,O=C1Cc2cc(C(=O)O)ccc2N1.O=Cc1[nH]cc2c1CCOC2=O>>O=C1Nc2ccc(C(=O)O)cc2C1=Cc1[nH]cc2c1CCOC2=O
18178,CCc1cc(C)c(-c2cccc(C(=O)CC(=O)OC(C)(C)C)c2)cn1.Cc1cc(NC(=O)OC(C)(C)C)c(N)cc1C(F)(F)F>>CCc1cc(C)c(-c2cccc(C(=O)CC(=O)Nc3cc(C(F)(F)F)c(C)cc3NC(=O)OC(C)(C)C)c2)cn1
30438,C1COCCO1.CC(C)(C)OC(=O)CN.CCN(C(C)C)C(C)C.CCOC(=O)C1=C(O)c2cccc(Cl)c2C(C)(C)C1=O.Cl.O>>CC(C)(C)OC(=O)CNC(=O)C1=C(O)c2cccc(Cl)c2C(C)(C)C1=O
7667,CC(C)(C)OC(=O)N1CCC(NC(=O)OCc2ccccc2)(C(=O)O)CC1.CCN(CC)CC.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.N.O.O=C([O-])O.On1nnc2ccccc21.[Na+]>>CC(C)(C)OC(=O)N1CCC(NC(=O)OCc2ccccc2)(C(N)=O)CC1
12348,BrCCCOCc1ccccc1.CCO.NCCO.[I-].[Na+]>>OCCNCCCOCc1ccccc1
19274,C=O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.ClCCl.O=C1CNCCN1c1cccc([N+](=O)[O-])c1.[Na+]>>CN1CCN(c2cccc([N+](=O)[O-])c2)C(=O)C1
19850,C1COCCO1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CCOC(C)=O.O.O=C([O-])O.O=S(=O)([O-])O.[K+].[N-]=[N+]=Nc1ccc(COC(=O)NCCCCC(N)C(=O)O)cc1.[Na+]>>CC(C)(C)OC(=O)N[C@@H](CCCCNC(=O)OCc1ccc(N=[N+]=[N-])cc1)C(=O)O
34487,CC(C)(C)OC(=O)Nc1ccc(-c2cccs2)cc1[N+](=O)[O-].O=C(NO)c1ccccc1C#Cc1ccccc1>>CC(C)(C)OC(=O)Nc1ccc(-c2cccs2)cc1N
20487,CCCC(=O)Cc1ccc(OCc2ccccc2)cc1.CCN(CC)CC.CCOC(=O)C=O.Cc1ccccc1>>CCCC(=O)C(c1ccc(OCc2ccccc2)cc1)C(O)C(=O)OCC
38285,C1CCNCC1.CCO.Cc1[nH]c(C=O)c(C)c1C(=O)N1CCN(C)CC1.O=C1Cc2c(cccc2-c2cccc(C(F)(F)F)c2)N1>>Cc1[nH]c(C=C2C(=O)Nc3cccc(-c4cccc(C(F)(F)F)c4)c32)c(C)c1C(=O)N1CCN(C)CC1
23455,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCN4CC5CN(C(=O)OC(C)(C)C)CC5C4)cc23)c1.CCOC(C)=O.Cl.ClCCl>>C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCN4CC5CNCC5C4)cc23)c1
31960,CC(=O)O.CC(=O)[O-].CCOC(=O)CC#N.C[C@@H]1CC(=O)C[C@H]1C.Cc1ccccc1.[NH4+]>>CCOC(=O)C(C#N)=C1C[C@@H](C)[C@H](C)C1
10132,CC(=O)N1CCN(c2ccc(N)nc2)CC1.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.CS(C)=O.Cc1cc(-c2cc(F)c(CC(=O)O)cc2C)ccn1.F[P-](F)(F)(F)(F)F>>CC(=O)N1CCN(c2ccc(NC(=O)Cc3cc(C)c(-c4ccnc(C)c4)cc3F)nc2)CC1
36752,C1CCOC1.CCOC(=O)CN(c1ccncc1F)n1ccc2ccccc21.CCOCC.[Al+3].[Cl-].[H-].[H-].[H-].[H-].[Li+].[NH4+]>>OCCN(c1ccncc1F)n1ccc2ccccc21
40311,C1CCOC1.CCCN.CCN(CC)CCCNc1nc(-c2cc(C(=O)O)ccc2C)c2ccc(=O)n(-c3c(F)cccc3F)c2n1.CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[P-](F)(F)(F)(F)F>>CCCNC(=O)c1ccc(C)c(-c2nc(NCCCN(CC)CC)nc3c2ccc(=O)n3-c2c(F)cccc2F)c1
1603,Cc1ncc(-c2cccc(N)c2)n1C.ClCCl.Clc1nccc2c(-c3ccsc3)cccc12.O=C([O-])[O-].[K+].[K+]>>Cc1ncc(-c2cccc(Nc3nccc4c(-c5ccsc5)cccc34)c2)n1C
1498,CCC(=O)c1ccc(F)c(Br)c1.O=C(c1ccc(O)cc1)c1ccc(O)cc1>>CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(F)c(Br)c1
7122,C1CCOC1.C=CC(C)O.CCOC(=O)/N=N/C(=O)OCC.O=Cc1cccc(O)c1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>C=CC(C)Oc1cccc(C=O)c1
13459,CC(=O)O.CC(C)(N)Cc1ccc(O)cc1.CC(C)CC(C)(C)C.NC(=O)c1ccc(Cl)nc1.O=C([O-])[O-].[K+].[K+]>>CC(C)(N)Cc1ccc(Oc2ccc(C(N)=O)cn2)cc1
2982,C1CCOC1.CON(C)C(=O)c1cc(Cl)nc(Cl)c1.C[Mg+].[Cl-].[Cl-].[Na+]>>CC(=O)c1cc(Cl)nc(Cl)c1
19652,CO.COC(=O)c1ncc2c(ccn2Cc2ccc(F)cc2)c1C#CCN(OC(=O)OC(C)(C)C)C(=O)OC(C)(C)C.[H][H].[Pd]>>COC(=O)c1ncc2c(ccn2Cc2ccc(F)cc2)c1CCCN(OC(=O)OC(C)(C)C)C(=O)OC(C)(C)C
